,0
0,Alaska
1,Arkansas
2,Connecticut
3,Hawaii
4,Idaho
5,Illinois
6,Kansas
7,Kentucky
8,Maine
9,Massachusetts
10,Minnesota
11,Missouri
12,Nebraska
13,New Hampshire
14,New Jersey
15,New York
16,North Dakota
17,Ohio
18,Pennsylvania
19,Rhode Island
20,South Dakota
21,Tennessee
22,Vermont
